,epower,fdr,n,partition_method,power
81,0.9900976562499998,0.03035486993026455,6200,oracle_rec,0.9598046875000001
82,0.9946679687500003,0.039230830250448864,6200,sample-split,0.9553125000000001
83,0.9900976562499998,0.03035486993026455,6200,sample-split-rec,0.9598046875000001
84,1.0198046875,0.04103031501446462,6500,nonsplit,0.9776367187499997
85,0.9935351562499997,0.0313768317467875,6500,oracle_rec,0.9621093750000003
86,0.9943945312499997,0.03958297336100435,6500,sample-split,0.9547265625000002
87,0.9935351562499997,0.0313768317467875,6500,sample-split-rec,0.9621093750000003
0,0.0,0.0,200,95 groups,0.0
1,0.0,0.0,200,236 groups,0.0
2,0.0,0.0,200,377 groups,0.0
3,0.0,0.0,200,518 groups,0.0
4,0.0,0.0,200,659 groups,0.0
5,0.0,0.0,200,800 groups,0.0
6,0.047416116861436854,0.0029150390490191814,500,95 groups,0.04686471756267741
7,0.022749382865461888,0.007725913084032654,500,236 groups,0.02106852696364508
8,0.002778994491676879,0.003311820652173913,500,377 groups,0.00252743390650531
9,0.001195730570874183,0.0006260016025641025,500,518 groups,0.001145785462622549
10,0.0,0.0,500,659 groups,0.0
11,0.0,0.0,500,800 groups,0.0
12,0.11543341454028791,0.007951460349327881,800,95 groups,0.11335103765039373
13,0.2333423982794175,0.027661818224069074,800,236 groups,0.21795988951396514
14,0.21875534788303827,0.02943949681995644,800,377 groups,0.20501895819819707
15,0.15457719337826498,0.019010707574568787,800,518 groups,0.1475828140735531
16,0.05509185167170883,0.010730934813922738,800,659 groups,0.052941336180536785
17,0.01685546875,0.003631608506399551,800,800 groups,0.016152343750000003
18,0.14154638778838777,0.010070726626190265,1100,95 groups,0.13860884440663326
19,0.3827289723600561,0.04620648349435968,1100,236 groups,0.34939843821838024
20,0.5312270598735347,0.0448341232158487,1100,377 groups,0.4936033893031214
21,0.6209440630295803,0.042066484988699956,1100,518 groups,0.5870984903068448
22,0.5694937583747365,0.036778858526127695,1100,659 groups,0.5442264898082768
23,0.2112890625,0.013913787571072199,1100,800 groups,0.20435546874999996
24,0.14261092720981203,0.009073723688350552,1400,95 groups,0.13993827470115455
25,0.39365764348233506,0.047172930184857936,1400,236 groups,0.35966936637737773
26,0.594668586710227,0.04974932369406349,1400,377 groups,0.5487448711473465
27,0.7475531511825528,0.04842131991449169,1400,518 groups,0.7014694540722044
28,0.8393424931839519,0.043083779024300606,1400,659 groups,0.7993338573756993
29,0.67912109375,0.02824355502621231,1400,800 groups,0.65740234375
30,0.14294108675827788,0.010045823155672371,1700,95 groups,0.1400630490214718
31,0.3975983744265306,0.049482404604042594,1700,236 groups,0.3614944680534905
32,0.5980137738910047,0.04815833380222604,1700,377 groups,0.5530831756239291
33,0.7576108257241222,0.0465931671778718,1700,518 groups,0.7118116452922323
34,0.8916867997206817,0.043913813188885514,1700,659 groups,0.8480190551286082
35,0.9027539062500001,0.032949128670782306,1700,800 groups,0.8726367187500004
36,0.14289641594461547,0.010308856098721697,2000,95 groups,0.1400251339038512
37,0.3970018051290508,0.04840529348226605,2000,236 groups,0.36180922264470794
38,0.6017574191794702,0.05129850431411921,2000,377 groups,0.5540665375795373
39,0.761633998613156,0.048406176783195594,2000,518 groups,0.7141138323645623
40,0.902461631540741,0.04734351698658069,2000,659 groups,0.8546835313700567
41,0.9484765624999998,0.036639512079428165,2000,800 groups,0.9132812500000002
42,0.14307459923955376,0.010467849276977918,2300,95 groups,0.14011315241883157
43,0.3971760905254452,0.049120564747791175,2300,236 groups,0.3620932120556848
44,0.5998468165684918,0.0488149593789612,2300,377 groups,0.5544434137435117
45,0.7624701830977436,0.04816191312309483,2300,518 groups,0.7152289339126471
46,0.9077600652364712,0.05046398124974491,2300,659 groups,0.8568651264401489
47,0.964375,0.03672812453216398,2300,800 groups,0.92865234375
48,0.14289462652897805,0.010058506989980249,2600,95 groups,0.14004121856274182
49,0.39553557718299587,0.045898000335179164,2600,236 groups,0.3623860714170823
50,0.5967133184761809,0.04510321066098398,2600,377 groups,0.5547795831395806
51,0.7601032607668694,0.045311246918963155,2600,518 groups,0.7156424308283075
52,0.9038367758088083,0.045951193007155916,2600,659 groups,0.8576770313662744
53,0.9794140625000002,0.03789878134521429,2600,800 groups,0.9420312499999994
54,0.14267694357256674,0.00907670463469183,2900,95 groups,0.14014154009882443
55,0.3968214902405899,0.04794397022169998,2900,236 groups,0.3624448997015217
56,0.5997582439374987,0.04809576142869702,2900,377 groups,0.5556202323809789
57,0.7643321974209777,0.049676280472323815,2900,518 groups,0.7159901755817973
58,0.9079794612301508,0.049064870809281715,2900,659 groups,0.8590954993344773
59,0.9828124999999996,0.03471153654080854,2900,800 groups,0.9484765624999999
60,0.1428764390681762,0.009698504953793652,3200,95 groups,0.14013472229441798
61,0.39636693833459397,0.04756408337726106,3200,236 groups,0.3628854995995006
62,0.5963517694333855,0.045143953615209675,3200,377 groups,0.5560388110267817
63,0.7596387127915348,0.044627212473049745,3200,518 groups,0.7170182260303269
64,0.9076395391242279,0.048226816091859304,3200,659 groups,0.860040291410722
65,0.9933593749999998,0.03823099316341006,3200,800 groups,0.9550585937500005
66,0.14287940881957323,0.00980630149199504,3500,95 groups,0.14013479919573188
